run,prompt_file,prompt_id,dataset,judge_model,language,dimension,protocol,protocol_name,system_chars,user_chars,messages
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_012009_t5_base__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,622,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_012009_t5_base__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,419,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_012009_t5_base__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,774,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_001765_t5_base__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,639,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_001765_t5_base__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,436,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_001765_t5_base__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,791,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_001380_mt5_xxl__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,797,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_001380_mt5_xxl__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,594,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_001380_mt5_xxl__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,949,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005907_mt5_small_250steps__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,612,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005907_mt5_small_250steps__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,409,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005907_mt5_small_250steps__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,764,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_013491_reference__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,787,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_013491_reference__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,584,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_013491_reference__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,939,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_012283_mt5_small__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,640,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_012283_mt5_small__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,437,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_012283_mt5_small__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,792,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_018298_finetuned__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,625,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_018298_finetuned__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,422,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_018298_finetuned__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,777,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_002206_t5_base__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,635,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_002206_t5_base__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,432,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_002206_t5_base__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,787,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_017941_finetuned__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,646,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_017941_finetuned__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,443,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_017941_finetuned__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,798,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_000523_t5_base_250steps__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,660,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_000523_t5_base_250steps__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,457,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_000523_t5_base_250steps__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,812,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005527_reference__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,682,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005527_reference__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,479,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005527_reference__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,834,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_000593_t5_base__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,662,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_000593_t5_base__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,459,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_000593_t5_base__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,814,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_007521_mt5_small_250steps__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,603,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_007521_mt5_small_250steps__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,400,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_007521_mt5_small_250steps__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,755,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_002085_mt5_small__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,1439,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_002085_mt5_small__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,1236,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_002085_mt5_small__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,1591,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_012214_mt5_small_250steps__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,720,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_012214_mt5_small_250steps__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,517,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_012214_mt5_small_250steps__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,872,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_011544_t5_base__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,643,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_011544_t5_base__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,440,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_011544_t5_base__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,795,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_013345_mt5_small_250steps__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,611,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_013345_mt5_small_250steps__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,408,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_013345_mt5_small_250steps__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,763,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_007360_mt5_small__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,642,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_007360_mt5_small__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,439,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_007360_mt5_small__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,794,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_000107_mt5_small_250steps__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,587,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_000107_mt5_small_250steps__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,384,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_000107_mt5_small_250steps__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,739,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005506_mt5_small__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,614,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005506_mt5_small__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,411,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005506_mt5_small__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,766,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_009985_mt5_small_250steps__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,613,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_009985_mt5_small_250steps__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,410,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_009985_mt5_small_250steps__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,765,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005873_reference__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,645,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005873_reference__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,442,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005873_reference__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,797,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005752_t5_base_250steps__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,653,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005752_t5_base_250steps__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,450,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005752_t5_base_250steps__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,805,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_001352_t5_base__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,800,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_001352_t5_base__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,597,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_001352_t5_base__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,952,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_009699_t5_xxl__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,824,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_009699_t5_xxl__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,621,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_009699_t5_xxl__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,976,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005881_t5_base__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,683,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005881_t5_base__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,480,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_005881_t5_base__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,835,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_007317_mt5_xxl__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,656,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_007317_mt5_xxl__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,453,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_007317_mt5_xxl__P3_bilingual__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P3_bilingual,Bilingual rubric,62,808,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_012253_t5_base__P0_direct_english__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P0_direct_english,Direct English rubric,52,689,2
candidate n50,data/prompts/candidate_n50_combined_explicit_prompts.jsonl,seahorse_test_en-US_comprehensibility_012253_t5_base__P1_target_rubric__gpt-4o-mini,seahorse,gpt-4o-mini,en-US,comprehensibility,P1_target_rubric,Target-language rubric,52,486,2
